,index,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,occupancy_rate,annual_rental_income,investment_score
5583,13661,688704741008089095,The Moon Night Hostel at Khaosan,473895661,Thunjira,Phra Nakhon,13.76166,100.50013,Private room,1090.0,1,1,0.58,1,365,1,0.0,0.0,0.5603982406521189
5584,13667,685769697202329363,คอนโดน่าอยู่ 2 ห้องนอน พร้อมสระว่ายน้ำ ใกล้ BTS,165351569,Praew,Phra Khanong,13.690165182856008,100.6045849398966,Private room,2200.0,7,3,0.65,1,332,3,0.09041095890410955,72599.99999999997,0.34198416395463455
5585,13668,685778072572340264,The President Hotel at Chokchai4,473213499,Veerin,Lat Phrao,13.81764273286965,100.59610248836064,Private room,900.0,1,4,0.98,1,365,4,0.0,0.0,0.16940176390749007
5586,13674,686221214494698984,302. Wooden Bedroom nearby Bangkok shopping& BTS,449012324,Jeff,Vadhana,13.72678,100.58831,Private room,950.0,2,2,0.44,12,362,2,0.008219178082191747,2849.999999999988,0.48270041526150653
5587,13678,686595904154891156,"ArunHome, Bangkok, WatArun/ MRT/Private House",114982054,DrSettachai,Bangkok Yai,13.74535737709984,100.48514328897,Private room,2043.0,1,1,0.35,2,364,1,0.002739726027397249,2042.9999999999918,0.22637781908066673
5588,13680,686685352918051428,A spacious studio room near Chatuchak Market (702),51374673,Phalawut,Chatu Chak,13.83229,100.56004,Private room,700.0,2,3,0.8,7,155,3,0.5753424657534247,147000.0,0.3773556276912838
5589,13682,686703573006205359,A spacious studio room near Chatuchak Market (703),51374673,Phalawut,Chatu Chak,13.8318841,100.5591756,Private room,700.0,3,1,0.31,7,137,1,0.6246575342465753,159600.0,0.3773556276912838
5590,13683,686709080851970513,A spacious studio room near Chatuchak Market (705),51374673,Phalawut,Chatu Chak,13.83265,100.55868,Private room,700.0,2,0,0.0,7,172,0,0.5287671232876712,135099.99999999997,0.3773556276912838
5591,13690,688921472165924780,1 Single Capsule in a 12 Bed Mixed Dormitory,473936779,Khaosan Social,Phra Nakhon,13.7604382,100.4982753,Shared room,474.0,1,3,0.8,7,362,3,0.008219178082191747,1421.999999999994,0.5603982406521189
5592,13693,688998403472430110,New modern room @ Asoke,54825529,Sukchai,Vadhana,13.74043,100.55839,Private room,2500.0,28,0,0.0,1,60,0,0.8356164383561644,762500.0,0.48270041526150653
5593,13694,689005447555237018,Private room  3pax  Netflix 15min DonMueng Airport,176795569,Suporn,Don Mueang,13.94344,100.61179,Private room,1180.0,1,0,0.0,8,364,0,0.002739726027397249,1179.9999999999952,0.3957266024616332
5594,13695,689015405130996702,River view 1Bedroom near Khaosan Rd. Grand palace,15270186,Gee,Phra Nakhon,13.76574,100.49781,Private room,3714.0,1,1,0.22,8,365,1,0.0,0.0,0.5603982406521189
